DigitalId,Name,Department,Year,Email,MobileNo,Place,ParentName,ParentMobile,ParentEmail
2310642,RAHUL,CIVIL,II,rahul2310642@gmail.com,9834567012,NAMAKKAL,CHITRA,9456789013,chitra2310642@gmail.com
2310643,VISHAL,ECE,III,vishal2310643@gmail.com,9845670123,SALEM,VASANTHA,9567890124,vasantha2310643@gmail.com
2310644,PRAVEEN,BME,IV,praveen2310644@gmail.com,9856781234,VILLUPURAM,ARAVINDAN,9678901235,aravindan2310644@gmail.com
2310645,ANAND,CHEM,II,anand2310645@gmail.com,9867892345,CHENNAI,KAVITHA,9789012346,kavitha2310645@gmail.com
2310646,VISHNU,IT,I,vishnu2310646@gmail.com,9878903456,TIRUPPUR,MADHAVAN,9890123457,madhavan2310646@gmail.com
2310647,VIJAY,CSE,IV,vijay2310647@gmail.com,9889014567,COIMBATORE,NIRMALA,9901234568,nirmala2310647@gmail.com
2310648,NAVIN,MECH,III,navin2310648@gmail.com,9890125678,MADURAI,SURESH,9012345678,suresh2310648@gmail.com
2310649,KESHAV,EEE,II,keshav2310649@gmail.com,9801236789,ERODE,MALINI,9123456781,malini2310649@gmail.com
2310650,ROHAN,IT,III,rohan2310650@gmail.com,9812347890,MADURAI,SHIVAKUMAR,9234567892,shivakumar2310650@gmail.com
2310651,KARAN,CSE,I,karan2310651@gmail.com,9823458901,TIRUNELVELI,RAJENDRAN,9345678903,rajendran2310651@gmail.com
2310652,ABHISHEK,CIVIL,II,abhishek2310652@gmail.com,9834569012,NAMAKKAL,RAMYA,9456789014,ramya2310652@gmail.com
2310653,GAUTHAM,ECE,III,gautham2310653@gmail.com,9845670123,SALEM,CHANDRA,9567890125,chandra2310653@gmail.com
2310654,YOGESH,BME,IV,yogesh2310654@gmail.com,9856781234,VILLUPURAM,SRINIVASAN,9678901236,srinivasan2310654@gmail.com
2310655,ARUN,CHEM,II,arun2310655@gmail.com,9867892345,CHENNAI,KANIMOZHI,9789012347,kanimozhi2310655@gmail.com
2310656,SRINIVAS,IT,I,srinivas2310656@gmail.com,9878903456,TIRUPPUR,NAGARAJ,9890123458,nagaraj2310656@gmail.com
2310657,ARAVIND,CSE,IV,aravind2310657@gmail.com,9889014567,COIMBATORE,VIJAYALAKSHMI,9901234569,vijayalakshmi2310657@gmail.com
2310658,RAGHAVAN,MECH,III,raghavan2310658@gmail.com,9890125678,MADURAI,BALAJI,9012345679,balaji2310658@gmail.com
2310659,VENKAT,EEE,II,venkat2310659@gmail.com,9801236789,ERODE,MALLIKA,9123456782,mallika2310659@gmail.com
2310660,HARI,IT,III,hari2310660@gmail.com,9812347890,MADURAI,KRISHNAKUMAR,9234567893,krishnakumar2310660@gmail.com
2310661,SHIVA,CSE,I,shiva2310661@gmail.com,9823458901,TIRUNELVELI,SUDHA,9345678904,sudha2310661@gmail.com
2310662,RAHUL,CIVIL,II,rahul2310662@gmail.com,9834569012,NAMAKKAL,SUNDARI,9456789015,sundari2310662@gmail.com
2310663,ANKIT,ECE,III,ankit2310663@gmail.com,9845670123,SALEM,MALLIGA,9567890126,malliga2310663@gmail.com
2310664,RAKESH,BME,IV,rakesh2310664@gmail.com,9856781234,VILLUPURAM,RAGHAVAN,9678901237,raghavan2310664@gmail.com
2310665,PRATHEEK,CHEM,II,pratheek2310665@gmail.com,9867892345,CHENNAI,RAJAN,9789012348,rajan2310665@gmail.com
2310666,SUNIL,IT,I,sunil2310666@gmail.com,9878903456,TIRUPPUR,BALAMURUGAN,9890123459,balamurugan2310666@gmail.com
2310667,KAMAL,CSE,IV,kamal2310667@gmail.com,9889014567,COIMBATORE,SARANYA,9901234570,saranya2310667@gmail.com
2310668,RAJAN,MECH,III,rajan2310668@gmail.com,9890125678,MADURAI,CHANDRASEKAR,9012345670,chandrasekar2310668@gmail.com
2310669,RAHUL,EEE,II,rahul2310669@gmail.com,9801236789,ERODE,KAVITHA,9123456783,kavitha2310669@gmail.com
2310670,SURESH,IT,III,suresh2310670@gmail.com,9812347890,MADURAI,SUBRAMANIAN,9234567894,subramanian2310670@gmail.com
2310671,KRISHNA,CSE,I,krishna2310671@gmail.com,9823458901,TIRUNELVELI,REVATHI,9345678905,revathi2310671@gmail.com
2310672,RAMESH,CIVIL,II,ramesh2310672@gmail.com,9834569012,NAMAKKAL,SRIRAM,9456789016,sriram2310672@gmail.com
2310673,VIKAS,ECE,III,vikas2310673@gmail.com,9845670123,SALEM,SULOCHANA,9567890127,sulochana2310673@gmail.com
2310674,KARTHIK,BME,IV,karthik2310674@gmail.com,9856781234,VILLUPURAM,NAGESH,9678901238,nagesh2310674@gmail.com
2310675,RAHUL,CHEM,II,rahul2310675@gmail.com,9867892345,CHENNAI,SANTHOSH,9789012349,santhosh2310675@gmail.com
23111019,Vijay,CSE,II,vijay123@gmail.com,9677195865,CHENNAI,RAVI,9677195863,Ravi23@gmail.com
2310324,AVINASH,IT,II,avinashjayachandiran@gmail.com,7604838195,Vellore,JAYACHANDIRAN,9842095437,jayachandiran1711@gmail.com
